gameid,gameid_num,away,home,tm,line,player_code,pos,min,fgm,fga,3pm,3pa,ftm,fta,+/-,off,def,tot,ast,pf,st,to,bs,ba,pts
20141214LALMIN,0021400351,LAL,MIN,LAL,-165,total,,240,34,81,5,17,27,34,,11,34,45,22,17,10,11,5,3,100
20141214LALMIN,0021400351,LAL,MIN,MIN,145,total,,240,38,90,3,10,15,20,,14,32,46,25,21,6,14,3,5,94
20141214PHXOKC,0021400352,PHX,OKC,PHX,260,total,,240,34,99,7,31,13,18,,14,26,40,21,22,11,10,3,5,88
20141214PHXOKC,0021400352,PHX,OKC,OKC,-320,total,,240,39,80,4,18,30,34,,14,49,63,20,19,7,18,5,3,112
20141214TORNYK,0021400353,TOR,NYK,TOR,-280,total,,265,36,78,9,24,14,18,,9,33,42,24,25,14,23,2,4,95
20141214TORNYK,0021400353,TOR,NYK,NYK,240,total,,265,29,78,9,29,23,28,,12,31,43,15,22,11,22,4,2,90
20141214SASDEN,0021400354,SAS,DEN,SAS,-220,total,,240,34,74,5,16,26,35,,11,32,43,26,20,9,13,11,4,99
20141214SASDEN,0021400354,SAS,DEN,DEN,180,total,,240,34,83,8,16,15,21,,15,30,45,20,29,10,21,4,11,91
20141215CHACLE,0021400355,CHA,CLE,CHA,500,total,,240,38,83,5,16,7,14,,5,32,37,22,14,4,10,5,5,88
20141215CHACLE,0021400355,CHA,CLE,CLE,-700,total,,240,38,83,9,24,12,17,,8,35,43,28,14,10,10,5,5,97
20141215LALIND,0021400356,LAL,IND,LAL,170,total,,240,29,88,10,26,23,29,,11,27,38,14,20,10,9,5,2,91
20141215LALIND,0021400356,LAL,IND,IND,-200,total,,240,40,83,7,17,23,27,,11,42,53,21,20,7,13,2,5,110
20141215BOSPHI,0021400357,BOS,PHI,BOS,-210,total,,240,38,86,6,25,23,35,,16,36,52,26,23,15,22,5,9,105
20141215BOSPHI,0021400357,BOS,PHI,PHI,175,total,,240,33,93,4,28,17,21,,16,32,48,19,28,11,22,9,5,87
20141215CHIATL,0021400358,CHI,ATL,CHI,120,total,,240,35,93,6,29,10,14,,15,42,57,18,17,3,14,6,7,86
20141215CHIATL,0021400358,CHI,ATL,ATL,-140,total,,240,36,83,7,21,14,17,,5,35,40,26,17,10,9,7,6,93
20141215ORLTOR,0021400359,ORL,TOR,ORL,260,total,,240,36,74,4,15,6,8,,6,30,36,13,19,5,19,7,4,82
20141215ORLTOR,0021400359,ORL,TOR,TOR,-320,total,,240,37,83,11,30,10,15,,12,27,39,25,14,8,11,4,7,95
20141215MILPHX,0021400360,MIL,PHX,MIL,190,total,,240,35,73,8,16,18,22,,5,28,33,23,27,10,21,1,5,96
20141215MILPHX,0021400360,MIL,PHX,PHX,-230,total,,240,30,75,12,38,22,27,,16,26,42,17,24,12,20,5,1,94
20141215SASPOR,0021400361,SAS,POR,SAS,330,total,,240,38,78,4,11,15,22,,9,33,42,19,21,5,15,4,2,95
20141215SASPOR,0021400361,SAS,POR,POR,-400,total,,240,41,89,7,18,19,22,,11,35,46,18,19,8,11,2,4,108
20141215DETLAC,0021400362,DET,LAC,DET,700,total,,240,35,83,8,27,13,22,,17,24,41,23,19,10,17,3,3,91
20141215DETLAC,0021400362,DET,LAC,LAC,-1000,total,,240,43,80,12,24,15,20,,12,29,41,35,21,9,14,3,3,113
20141216MINWAS,0021400363,MIN,WAS,MIN,800,total,,240,36,81,3,8,20,35,,11,30,41,17,18,7,9,5,8,95
20141216MINWAS,0021400363,MIN,WAS,WAS,-1200,total,,240,43,86,10,17,13,18,,10,36,46,29,25,7,10,8,5,109
20141216MIABKN,0021400364,MIA,BKN,MIA,220,total,,240,33,72,9,24,20,26,,7,34,41,20,23,9,18,2,2,95
20141216MIABKN,0021400364,MIA,BKN,BKN,-260,total,,240,30,77,8,28,23,32,,11,26,37,25,26,9,17,2,2,91
20141216GSWMEM,0021400365,GSW,MEM,GSW,140,total,,240,39,95,9,31,11,12,,15,34,49,18,19,9,14,11,4,98
20141216GSWMEM,0021400365,GSW,MEM,MEM,-160,total,,240,42,92,5,14,16,19,,10,38,48,24,16,9,12,4,11,105
20141216UTANOP,0021400366,UTA,NOP,UTA,450,total,,240,45,90,5,15,16,19,,18,19,37,19,18,6,15,7,9,111
20141216UTANOP,0021400366,UTA,NOP,NOP,-600,total,,240,47,79,8,16,17,18,,9,23,32,24,20,9,16,9,7,119
20141216DALNYK,0021400367,DAL,NYK,DAL,-350,total,,240,42,83,15,33,8,8,,10,31,41,30,14,9,17,4,5,107
20141216DALNYK,0021400367,DAL,NYK,NYK,290,total,,240,37,84,5,21,8,10,,10,25,35,23,13,11,12,5,4,87
20141216OKCSAC,0021400368,OKC,SAC,OKC,310,total,,240,41,87,6,20,16,24,,12,29,41,18,20,9,10,9,3,104
20141216OKCSAC,0021400368,OKC,SAC,SAC,-380,total,,240,36,84,5,18,15,17,,13,35,48,21,21,7,17,3,9,92
20141217PHXCHA,0021400369,PHX,CHA,PHX,120,total,,240,43,82,9,25,16,21,,8,35,43,22,15,4,8,7,3,111
20141217PHXCHA,0021400369,PHX,CHA,CHA,-140,total,,240,40,86,10,24,16,22,,8,27,35,22,16,6,6,3,7,106
20141217ATLCLE,0021400370,ATL,CLE,ATL,250,total,,240,49,76,16,28,13,16,,6,34,40,36,17,3,9,5,0,127
20141217ATLCLE,0021400370,ATL,CLE,CLE,-300,total,,240,37,82,8,30,16,21,,10,23,33,24,17,3,8,0,5,98
20141217ORLBOS,0021400371,ORL,BOS,ORL,145,total,,240,37,85,5,19,13,15,,10,26,36,17,16,8,12,1,8,92
20141217ORLBOS,0021400371,ORL,BOS,BOS,-165,total,,240,44,80,7,19,14,18,,7,35,42,25,16,9,14,8,1,109
20141217DALDET,0021400372,DAL,DET,DAL,-300,total,,240,40,79,10,22,27,35,,9,36,45,29,15,9,14,4,4,117
20141217DALDET,0021400372,DAL,DET,DET,250,total,,240,40,89,13,33,13,19,,10,32,42,22,27,9,11,4,4,106
20141217UTAMIA,0021400373,UTA,MIA,UTA,140,total,,240,35,66,14,25,21,24,,6,32,38,23,26,4,18,5,0,105
20141217UTAMIA,0021400373,UTA,MIA,MIA,-160,total,,240,27,70,4,17,29,40,,8,23,31,10,24,10,11,0,5,87
20141217BKNTOR,0021400374,BKN,TOR,BKN,700,total,,240,35,81,9,27,10,22,,14,29,43,20,16,3,13,8,4,89
20141217BKNTOR,0021400374,BKN,TOR,TOR,-1000,total,,240,41,80,10,20,13,19,,11,31,42,24,21,6,9,4,8,105
20141217MEMSAS,0021400375,MEM,SAS,MEM,135,total,,315,48,107,10,27,11,14,,13,45,58,29,27,12,12,6,11,117
20141217MEMSAS,0021400375,MEM,SAS,SAS,-155,total,,315,43,105,17,35,13,27,,19,41,60,31,16,6,14,11,6,116
20141217MILPOR,0021400376,MIL,POR,MIL,450,total,,240,37,77,7,19,16,22,,5,27,32,16,25,8,13,0,3,97
