gameid,away,home,nprds
20150114NOPDET,NOP,DET,4
20150114PHITOR,PHI,TOR,4
20150114WASCHI,WAS,CHI,4
20150114ATLBOS,ATL,BOS,4
20150114DALDEN,DAL,DEN,4
20150114MIAGSW,MIA,GSW,4
20150114LACPOR,LAC,POR,4
20150115OKCHOU,OKC,HOU,4
20150115NYKMIL,NYK,MIL,4
20150115CLELAL,CLE,LAL,4
20150116DETIND,DET,IND,4
20150116MEMORL,MEM,ORL,4
20150116NOPPHI,NOP,PHI,4
20150116BKNWAS,BKN,WAS,4
20150116CHIBOS,CHI,BOS,4
20150116ATLTOR,ATL,TOR,4
20150116GSWOKC,GSW,OKC,4
20150116DENDAL,DEN,DAL,4
20150116PORSAS,POR,SAS,4
20150116MINPHX,MIN,PHX,4
20150116LALUTA,LAL,UTA,4
20150116MIASAC,MIA,SAC,4
20150116CLELAC,CLE,LAC,4
20150117INDCHA,IND,CHA,5
20150117PHIDET,PHI,DET,4
20150117ATLCHI,ATL,CHI,4
20150117GSWHOU,GSW,HOU,4
20150117PORMEM,POR,MEM,4
20150117WASBKN,WAS,BKN,4
20150117MINDEN,MIN,DEN,4
20150117LACSAC,LAC,SAC,4
20150118NOPTOR,NOP,TOR,4
20150118OKCORL,OKC,ORL,4
20150118UTASAS,UTA,SAS,4
20150119MINCHA,MIN,CHA,4
20150119PHIWAS,PHI,WAS,4
20150119DETATL,DET,ATL,4
20150119BOSLAC,BOS,LAC,4
20150119DENGSW,DEN,GSW,4
20150119DALMEM,DAL,MEM,4
20150119INDHOU,IND,HOU,4
20150119NOPNYK,NOP,NYK,4
20150119TORMIL,TOR,MIL,4
20150119CHICLE,CHI,CLE,4
20150119SACPOR,SAC,POR,4
20150119LALPHX,LAL,PHX,4
20150120OKCMIA,OKC,MIA,4
20150120SASDEN,SAS,DEN,4
20150121MIACHA,MIA,CHA,4
20150121UTACLE,UTA,CLE,4
20150121NYKPHI,NYK,PHI,4
20150121INDATL,IND,ATL,4
20150121ORLDET,ORL,DET,4
20150121TORMEM,TOR,MEM,4
20150121DALMIN,DAL,MIN,4
20150121LALNOP,LAL,NOP,4
20150121OKCWAS,OKC,WAS,5
20150121PORPHX,POR,PHX,4
20150121BKNSAC,BKN,SAC,4
20150121HOUGSW,HOU,GSW,4
20150122SASCHI,SAS,CHI,4
20150122UTAMIL,UTA,MIL,4
20150122BOSPOR,BOS,POR,4
20150122BKNLAC,BKN,LAC,4
20150123TORPHI,TOR,PHI,4
20150123OKCATL,OKC,ATL,4
20150123CHACLE,CHA,CLE,4
20150123INDMIA,IND,MIA,4
20150123ORLNYK,ORL,NYK,4
20150123CHIDAL,CHI,DAL,4
20150123NOPMIN,NOP,MIN,4
20150123LALSAS,LAL,SAS,4
20150123BOSDEN,BOS,DEN,4
20150123HOUPHX,HOU,PHX,4
20150123SACGSW,SAC,GSW,4
20150124NYKCHA,NYK,CHA,4
20150124DETMIL,DET,MIL,4
20150124PHIMEM,PHI,MEM,4
20150124BKNUTA,BKN,UTA,4
20150124WASPOR,WAS,POR,4
20150125MIACHI,MIA,CHI,4
20150125OKCCLE,OKC,CLE,4
20150125LACPHX,LAC,PHX,4
20150125DALNOP,DAL,NOP,4
20150125MINATL,MIN,ATL,4
20150125INDORL,IND,ORL,4
20150125MILSAS,MIL,SAS,4
20150125DETTOR,DET,TOR,4
20150125BOSGSW,BOS,GSW,4
20150125WASDEN,WAS,DEN,5
20150125HOULAL,HOU,LAL,4
20150126ORLMEM,ORL,MEM,4
20150126PHINOP,PHI,NOP,4
20150126MINOKC,MIN,OKC,4
20150126BOSUTA,BOS,UTA,4
20150126DENLAC,DEN,LAC,4
20150127TORIND,TOR,IND,4
20150127CLEDET,CLE,DET,4
20150127MILMIA,MIL,MIA,4
20150127MEMDAL,MEM,DAL,4
20150127CHIGSW,CHI,GSW,5
20150127WASLAL,WAS,LAL,4
20150128PORCLE,POR,CLE,4
20150128DETPHI,DET,PHI,4
20150128BKNATL,BKN,ATL,4
20150128SACTOR,SAC,TOR,4
20150128DALHOU,DAL,HOU,4
20150128BOSMIN,BOS,MIN,4
20150128DENNOP,DEN,NOP,4
20150128OKCNYK,OKC,NYK,4
20150128CHASAS,CHA,SAS,4
20150128LACUTA,LAC,UTA,4
20150128WASPHX,WAS,PHX,4
20150129MILORL,MIL,ORL,4
20150129DENMEM,DEN,MEM,4
20150129NYKIND,NYK,IND,4
20150129CHILAL,CHI,LAL,6
20150130MINPHI,MIN,PHI,4
20150130PORATL,POR,ATL,4
20150130HOUBOS,HOU,BOS,4
20150130TORBKN,TOR,BKN,5
20150130SACCLE,SAC,CLE,4
20150130LACNOP,LAC,NOP,4
20150130DALMIA,DAL,MIA,4
20150130GSWUTA,GSW,UTA,4
20150130CHIPHX,CHI,PHX,4
20150131SACIND,SAC,IND,4
20150131DALORL,DAL,ORL,4
20150131TORWAS,TOR,WAS,5
20150131PHIATL,PHI,ATL,4
20150131HOUDET,HOU,DET,4
20150131OKCMEM,OKC,MEM,4
20150131CLEMIN,CLE,MIN,4
20150131PORMIL,POR,MIL,4
20150131CHADEN,CHA,DEN,4
20150131LACSAS,LAC,SAS,4
20150131PHXGSW,PHX,GSW,4
20150201MIABOS,MIA,BOS,4
20150201LALNYK,LAL,NYK,4
20150202PHICLE,PHI,CLE,4
20150202CHAWAS,CHA,WAS,4
20150202LACBKN,LAC,BKN,4
20150202MILTOR,MIL,TOR,4
20150202ATLNOP,ATL,NOP,4
20150202ORLOKC,ORL,OKC,4
20150202MINDAL,MIN,DAL,4
20150202MEMPHX,MEM,PHX,4
20150203DENPHI,DEN,PHI,4
20150203MIADET,MIA,DET,4
20150203BOSNYK,BOS,NYK,4
20150203UTAPOR,UTA,POR,4
