gameid,season,away,home
20100116NYKDET,2009,NYK,DET
20100116NOHIND,2009,NOH,IND
20100116CLELAC,2009,CLE,LAC
20100116SASMEM,2009,SAS,MEM
20100116MIAOKC,2009,MIA,OKC
20100116MILUTA,2009,MIL,UTA
20100116SACWAS,2009,SAC,WAS
20100117UTADEN,2009,UTA,DEN
20100117DALTOR,2009,DAL,TOR
20100118OKCATL,2009,OKC,ATL
20100118DALBOS,2009,DAL,BOS
20100118SACCHA,2009,SAC,CHA
20100118CHIGSW,2009,CHI,GSW
20100118MILHOU,2009,MIL,HOU
20100118NJNLAC,2009,NJN,LAC
20100118ORLLAL,2009,ORL,LAL
20100118PHXMEM,2009,PHX,MEM
20100118PHIMIN,2009,PHI,MIN
20100118SASNOH,2009,SAS,NOH
20100118DETNYK,2009,DET,NYK
20100118PORWAS,2009,POR,WAS
20100119TORCLE,2009,TOR,CLE
20100119INDMIA,2009,IND,MIA
20100120SACATL,2009,SAC,ATL
20100120MIACHA,2009,MIA,CHA
20100120BOSDET,2009,BOS,DET
20100120DENGSW,2009,DEN,GSW
20100120CHILAC,2009,CHI,LAC
20100120TORMIL,2009,TOR,MIL
20100120OKCMIN,2009,OKC,MIN
20100120MEMNOH,2009,MEM,NOH
20100120INDORL,2009,IND,ORL
20100120PORPHI,2009,POR,PHI
20100120NJNPHX,2009,NJN,PHX
20100120UTASAS,2009,UTA,SAS
20100120DALWAS,2009,DAL,WAS
20100121LALCLE,2009,LAL,CLE
20100121LACDEN,2009,LAC,DEN
20100122CHAATL,2009,CHA,ATL
20100122PORBOS,2009,POR,BOS
20100122INDDET,2009,IND,DET
20100122NJNGSW,2009,NJN,GSW
20100122OKCMEM,2009,OKC,MEM
20100122NOHMIN,2009,NOH,MIN
20100122LALNYK,2009,LAL,NYK
20100122SACORL,2009,SAC,ORL
20100122DALPHI,2009,DAL,PHI
20100122CHIPHX,2009,CHI,PHX
20100122HOUSAS,2009,HOU,SAS
20100122MILTOR,2009,MIL,TOR
20100122MIAWAS,2009,MIA,WAS
20100123ORLCHA,2009,ORL,CHA
20100123OKCCLE,2009,OKC,CLE
20100123NOHDEN,2009,NOH,DEN
20100123PORDET,2009,POR,DET
20100123CHIHOU,2009,CHI,HOU
20100123PHIIND,2009,PHI,IND
20100123SACMIA,2009,SAC,MIA
20100123MINMIL,2009,MIN,MIL
20100123GSWPHX,2009,GSW,PHX
20100123NJNUTA,2009,NJN,UTA
20100124DALNYK,2009,DAL,NYK
20100124LALTOR,2009,LAL,TOR
20100124LACWAS,2009,LAC,WAS
20100125LACBOS,2009,LAC,BOS
20100125CHADEN,2009,CHA,DEN
20100125ATLHOU,2009,ATL,HOU
20100125ORLMEM,2009,ORL,MEM
20100125CLEMIA,2009,CLE,MIA
