dataid,gameid
1349977,20140223MINPOR
1348830,20140223SACDEN
1349967,20140223ORLTOR
1349530,20140223WASCLE
1349683,20140223CHIMIA
1349411,20140223LACOKC
1349627,20140224BOSUTA
1349852,20140224LACNOP
1349859,20140224DALNYK
1349798,20140224GSWDET
1349338,20140224MILPHI
1349615,20140225HOUSAC
1348833,20140225PORDEN
1348826,20140225MINPHX
1349800,20140225CHIATL
1349378,20140225ORLWAS
1349535,20140225TORCLE
1349245,20140225LALIND
1349441,20140226HOULAC
1349189,20140226BKNPOR
1349631,20140226PHXUTA
1349847,20140226DETSAS
1349647,20140226LALMEM
1349412,20140226CLEOKC
1348912,20140226GSWCHI
1349012,20140226NOPDAL
1349216,20140226ATLBOS
1349350,20140226ORLPHI
1348837,20140227BKNDEN
1349687,20140227NYKMIA
1349968,20140227WASTOR
1349252,20140227MILIND
1348829,20140228NOPPHX
1349213,20140228SACLAL
1349851,20140228CHASAS
1349017,20140228CHIDAL
1349417,20140228MEMOKC
1349871,20140228GSWNYK
1349541,20140228UTACLE
1349446,20140301NOPLAC
1349193,20140301DENPOR
1349618,20140301MINSAC
1349655,20140301CLEMEM
1349481,20140301BKNMIL
1349220,20140301INDBOS
1349335,20140301DETHOU
1349691,20140301ORLMIA
1349360,20140301WASPHI
1348834,20140302ATLPHX
1349855,20140302DALSAS
1349422,20140302CHAOKC
1349259,20140302UTAIND
1348921,20140302PHIORL
1349921,20140302GSWTOR
1348919,20140302NYKCHI
1349200,20140303LALPOR
1349620,20140303NOPSAC
1348840,20140303MINDEN
1349484,20140303UTAMIL
1349803,20140303NYKDET
1349029,20140303CHIBKN
1349694,20140303CHAMIA
1349389,20140303MEMWAS
1349218,20140304NOPLAL
1348838,20140304LACPHX
1349425,20140304PHIOKC
1349340,20140304MIAHOU
1349545,20140304SASCLE
1349262,20140304GSWIND
1349206,20140305ATLPOR
1348843,20140305DALDEN
1349021,20140305NYKMIN
1349487,20140305SACMIL
1349809,20140305CHIDET
1349225,20140305GSWBOS
1349033,20140305MEMBKN
1349394,20140305UTAWAS
1349932,20140305INDCHA
1348924,20140305HOUORL
